name,title,duration,country,director,genre,cast,kp_rating,kp_votes_num,imdb_rating,imdb_votes_num
Гравити Фолз  (сериал) Gravity Falls (2012 – 2016) 22 мин.,Gravity Falls (2012 – 2016),22 мин.,США,реж. Джо Питт...,"['(мультфильм,', 'комедия,', 'детектив...)']","Джейсон Риттер, Алекс Хирш, ...",8.952,338 374,IMDb: 8.90,87 943
Место встречи изменить нельзя  (мини-сериал)  (1979) 60 мин.,(1979),60 мин.,СССР,реж. Станислав Говорухин,"['(криминал,', 'детектив,', 'боевик...)']","Владимир Высоцкий, Владимир Конкин, ...",8.951,228 479,IMDb: 8.80,4 438
Тропические острова  (мини-сериал) Earth's Tropical Islands (2020) 59 мин.,Earth's Tropical Islands (2020),59 мин.,Великобритания,реж. Sara Douglas...,['(документальный)'],"Дэвид Хэрвуд, Wisdom, ...",8.946,4 603,IMDb: 8.20,146
Timeless 2013 - Le film  (2013) 120 мин.,(2013),120 мин.,Франция,реж. Франсуа Ансс,"['(концерт,', 'музыка)']","Милен Фармер, ...",8.946,677,,
Смешарики. Новый сезон  (сериал)  (2020 – ...) 6 мин.,(2020 – ...),6 мин.,Россия,реж. Денис Чернов...,"['(мультфильм,', 'детский,', 'семейный)']","Вадим Бочанов, Антон Виноградов, ...",8.943,125 641,,
Моцарт. Рок-опера  (видео) Mozart L'Opéra Rock (2009) 121 мин.,Mozart L'Opéra Rock (2009),121 мин.,Франция,реж. Оливье Даан,['(мюзикл)'],"Дэльфин Грансар, Диан Дассини, ...",8.939,4 990,IMDb: 8.50,255
Моцарт. Рок-опера  (ТВ) Mozart l'opéra Rock 3D (2011) ,Mozart l'opéra Rock 3D (2011),,Франция,,['(мюзикл)'],"Флоран Мот, Маэва Мелин, ...",8.939,927,IMDb: 7.90,25
Антология Beatles  (мини-сериал) The Beatles Anthology (1995) 600 мин.,The Beatles Anthology (1995),600 мин.,Великобритания,реж. Боб Смитон...,"['(документальный,', 'музыка)']","Пол Маккартни, Джордж Харрисон, ...",8.929,716,IMDb: 9.10,8 614
Космос  (сериал) Cosmos (1980) 60 мин.,Cosmos (1980),60 мин.,США,реж. Адриан Мэлоун...,['(документальный)'],"Карл Саган, Яромир Ганзлик, ...",8.924,1 033,IMDb: 9.30,38 850
Avant que l'ombre  (видео)  (2006) 137 мин.,(2006),137 мин.,Франция,реж. Франсуа Ансс,"['(музыка,', 'концерт)']","Милен Фармер, Абрахам Лабориэль мл., ...",8.923,550,IMDb: 9.00,68
"Семь миров, одна планета  (мини-сериал) Seven Worlds One Planet (2019) 407 мин.",Seven Worlds One Planet (2019),407 мин.,Великобритания,реж. Джилз Баджер...,['(документальный)'],"Дэвид Аттенборо, Питер Дрост, ...",8.918,1 194,IMDb: 9.40,4 880
Говорящий Том и друзья  (сериал) Talking Tom and Friends (2014 – ...) 11 мин.,Talking Tom and Friends (2014 – ...),11 мин.,Кипр,реж. Марк МакКонвилл...,"['(мультфильм,', 'детский,', 'приключения...)']","Колин Хэнкс, Том Кенни, ...",8.915,2 665,IMDb: 6.10,388
Ферма Кларксона  (сериал) Clarkson's Farm (2021 – ...) 45 мин.,Clarkson's Farm (2021 – ...),45 мин.,Великобритания,реж. Гэвин Уайтхед...,"['(документальный,', 'комедия)']","Джереми Кларксон, Kaleb Cooper, ...",8.909,1 256,IMDb: 9.10,25 261
Форрест Гамп Forrest Gump (1994) 142 мин.,Forrest Gump (1994),142 мин.,США,реж. Роберт Земекис,"['(драма,', 'комедия,', 'мелодрама...)']","Том Хэнкс, Робин Райт, ...",8.908,643 515,IMDb: 8.80,1 924 716
Ханс Циммер: Live on Tour Hans Zimmer: Live in Prague (2017) 150 мин.,Hans Zimmer: Live in Prague (2017),150 мин.,Великобритания,реж. Тим Ван Сомерен,"['(концерт,', 'музыка,', 'документальный)']","Ханс Циммер, Иоланда Чарльз, ...",8.895,800,IMDb: 9.10,2 543
Романовы  (сериал)  (2013) 60 мин.,(2013),60 мин.,Россия,реж. Максим Беспалый,"['(документальный,', 'история)']","Андрей Шибаршин, Александр Горелов, ...",8.893,72 078,IMDb: 8.30,306
Семнадцать мгновений весны  (сериал)  (1973) 69 мин.,(1973),69 мин.,СССР,реж. Татьяна Лиознова,"['(военный,', 'драма,', 'приключения...)']","Вячеслав Тихонов, Леонид Броневой, ...",8.891,81 731,IMDb: 8.80,4 314
КьюАй. Весьма интересно  (сериал) QI (2003 – ...) 22 мин.,QI (2003 – ...),22 мин.,Великобритания,реж. Ian Lorimer...,"['(игра,', 'комедия)']","Алан Дейвис, Стивен Фрай, ...",8.890,3 794,IMDb: 8.60,30 730
LEGO Супергерои Marvel: Мстители. Снова в сборе  (ТВ) Lego Marvel Super Heroes: Avengers Reassembled (2015) 22 мин.,Lego Marvel Super Heroes: Avengers Reassembled (2015),22 мин.,США,реж. Rob Silvestri,"['(мультфильм,', 'фантастика,', 'боевик...)']","Лора Бэйли, Трой Бэйкер, ...",8.889,4 936,IMDb: 6.20,794
Планеты  (мини-сериал) The Planets (2019) 58 мин.,The Planets (2019),58 мин.,Великобритания,реж. Стивен Кутер...,['(документальный)'],"Брайан Кокс, Фран Бэйджнал, ...",8.884,1 923,IMDb: 9.10,3 025
Собор Парижской Богоматери  (ТВ) Notre-Dame de Paris (1998) 150 мин.,Notre-Dame de Paris (1998),150 мин.,Франция,реж. Жиль Амаду,"['(мюзикл,', 'драма,', 'мелодрама...)']","Гару, Элен Сегара, ...",8.883,8 790,IMDb: 8.90,1 535
Mylène Farmer: Live à Bercy  (1997) 120 мин.,(1997),120 мин.,Франция,реж. Лоран Бутонна...,"['(концерт,', 'музыка)']","Милен Фармер, Валери Бони, ...",8.883,547,IMDb: 9.20,179
Чернобыль  (мини-сериал) Chernobyl (2019) 59 мин.,Chernobyl (2019),59 мин.,США,реж. Йохан Ренк,"['(драма,', 'история)']","Джаред Харрис, Стеллан Скарсгард, ...",8.876,330 809,IMDb: 9.40,626 328
Крестный отец: Трилогия 1901-1980  (видео) The Godfather Trilogy: 1901-1980 (1992) 583 мин.,The Godfather Trilogy: 1901-1980 (1992),583 мин.,США,реж. Фрэнсис Форд Коппола,"['(триллер,', 'драма,', 'криминал)']","Аль Пачино, Роберт Дювалл, ...",8.868,54 392,IMDb: 9.30,15 243
Шерлок  (сериал) Sherlock (2010 – 2017) 90 мин.,Sherlock (2010 – 2017),90 мин.,Великобритания,реж. Пол МакГиган...,"['(детектив,', 'триллер,', 'драма...)']","Бенедикт Камбербэтч, Мартин Фриман, ...",8.864,456 814,IMDb: 9.10,859 280
Африка  (мини-сериал) Africa (2013) 58 мин.,Africa (2013),58 мин.,Великобритания,реж. Катрина Бартлам...,['(документальный)'],"Дэвид Аттенборо, Саймон Блэкни, ...",8.864,962,IMDb: 8.90,15 339
Хочу все знать!  (сериал)  (2021 – ...) 12 мин.,(2021 – ...),12 мин.,Россия,реж. Алексей Егоров,"['(документальный,', 'детский,', 'реальное', 'ТВ)']","Андрей Одинцов, ...",8.861,4 818,,
BBC: Планета Земля  (мини-сериал) Planet Earth (2006) 43 мин.,Planet Earth (2006),43 мин.,Великобритания,реж. Аластер Фотергилл...,['(документальный)'],"Дэвид Аттенборо, Сигурни Уивер, ...",8.860,12 317,IMDb: 9.40,174 899
Во все тяжкие  (сериал) Breaking Bad (2008 – 2013) 47 мин.,Breaking Bad (2008 – 2013),47 мин.,США,реж. Мишель МакЛарен...,"['(криминал,', 'драма,', 'триллер)']","Брайан Крэнстон, Анна Ганн, ...",8.859,398 096,IMDb: 9.40,1 608 728
Как назвать эту любовь?  (сериал) Iss Pyaar Ko Kya Naam Doon (2011 – 2012) 20 мин.,Iss Pyaar Ko Kya Naam Doon (2011 – 2012),20 мин.,Индия,,"['(драма,', 'мелодрама)']","Барун Собти, Санайя Ирани, ...",8.858,4 978,IMDb: 7.60,3 117
Алое сердце  (сериал) Dalui yeonin - bobogyungsim Ryeo (2016) 75 мин.,Dalui yeonin - bobogyungsim Ryeo (2016),75 мин.,Корея Южная,реж. Ким Гю-тхэ,"['(фэнтези,', 'драма,', 'мелодрама...)']","Ли Джун-ги, Ли Джи-ын, ...",8.855,14 794,IMDb: 8.70,6 860
Вернуться в 1988  (сериал) Eungdaphara 1988 (2015 – 2016) 110 мин.,Eungdaphara 1988 (2015 – 2016),110 мин.,Корея Южная,реж. Щин Вон-хо,"['(комедия,', 'мелодрама)']","Хери, Пак По-гом, ...",8.855,1 762,IMDb: 9.10,5 492
Джейми Оливер: Продолжаем готовить  (сериал) Jamie: Keep Cooking and Carry On (2020) 25 мин.,Jamie: Keep Cooking and Carry On (2020),25 мин.,Великобритания,,"['(реальное', 'ТВ)']","Джейми Оливер, ...",8.853,1 398,IMDb: 8.00,44
Мир в войне  (мини-сериал) The World at War (1973) 52 мин.,The World at War (1973),52 мин.,Великобритания,реж. Хью Раггетт...,"['(документальный,', 'военный,', 'история)']","Лоуренс Оливье, Аверелл Гарриман, ...",8.842,855,IMDb: 9.20,23 957
Великая война  (сериал)  (2010 – 2012) 50 мин.,(2010 – 2012),50 мин.,Россия,реж. Анна Граждан...,"['(документальный,', 'военный,', 'история)']","Евгений Синчуков, Анатолий Богуш, ...",8.839,58 563,IMDb: 8.60,234
